name,url
This American Life,http://feed.thisamericanlife.org/talpodcast
Freakonomics Radio,http://feeds.feedburner.com/freakonomicsradio
The Joe Rogan Experience,http://joeroganexp.joerogan.libsynpro.com/rss
TED Radio Hour,x
Planet Money,x
Wait Wait... Don't Tell Me!,x
The Moth Podcast,x
NPR: News,x
Stuff You Should Know,http://www.howstuffworks.com/podcasts/stuff-you-should-know.rss
MSNBC Rachel Maddow (audio),x
Fresh Air,x
Radiolab,http://feeds.wnyc.org/radiolab
PRI's The World,x
Reuters: Top News,x
Snap Judgment,http://feeds.wnyc.org/snapjudgment-wnyc
Marketplace All Stories,x
PBS NewsHourPBS NewsHour,x
The Tim Ferriss Show,http://feeds.feedburner.com/thetimferrissshow
USA TODAY Talking Tech,x
Real Time with Bill Maher,http://billmaher.hbo.libsynpro.com/rss
99% Invisible,x
The Mark Levin Show Podcast,http://feeds.feedburner.com/marklevinshow/MLAR
Serial,http://feeds.serialpodcast.org/serialpodcast
WTF with Marc Maron Podcast,http://wtfpod.libsyn.com/rss
Pulse of the Planet Podcast with Jim ...,x
TIME's Top Stories,x
CBS Sports Fantasy Baseball Today Pod...,x
Criminal,http://feeds.feedburner.com/CriminalShow
The Bill Simmons Podcast,http://feeds.feedburner.com/TheBillSimmonsPodcast
Ground Zero Media,x
StarTalk Radio,x
Hourly News Summary,x
Solomonster Sounds Off,http://solomonster.podbean.com/feed/
Stuff You Missed in History Class,x
The Glenn Beck Program,http://rss.premiereradio.net/glennbeck/podcast.xml
The Nerdist,http://nerdist.libsyn.com/rss
Hidden Brain,x
Global News,x
Sword and Scale,http://swordandscale.com/feed/podcast
Latest News from 89.3 KPCC,x
WRESTLING SOUP,http://wrestlingsoup.com/ws/feed.xml
The Alex Jones Show - Infowars.com,x
The Pulse,http://feeds.feedburner.com/newsworks/ThePulse
APM: Marketplace,x
Around the NFL,http://aroundtheleague.libsyn.com/rss
DON TONY AND KEVIN CASTLE SHOW,x
Savage Lovecast,http://savagelove.libsyn.com/rss
Slate's Political Gabfest,x
NPR: Science,x
NPR Politics Podcast,http://www.npr.org/rss/podcast.php?id=510310
MAD MONEY W/ JIM CRAMER - Full Episode,x
Note to Self,http://feeds.wnyc.org/notetoself-podcast
Radio Show Archive _ Dennis Prager,x
FT News,http://rss.acast.com/ft-news
Stuff To Blow Your Mind,http://www.howstuffworks.com/podcasts/stuff-to-blow-your-mind.rss
Game of Thrones Podcast,x
Dan Carlin's Hardcore History,x
Fighter and The Kid,x
Economy : NPR,x
Modern Love,http://www.wbur.org/tags/modernlove?feed=podcast
How To Do Everything,x
Darkness Radio,http://twincitiesnewstalk.iheart.com/podcast/itunes/darknessradio_itunes.xml
The Dave Ramsey Show,http://daveramsey.ramsey.libsynpro.com/rss
Car Talk,x
60 Minutes,x
Sasquatch Chronicles,x
MSNBC Morning Joe (audio),x
USA TODAY 5 Things,x
Channel 33,http://feeds.feedburner.com/Channel33
Sam Roberts Wrestling Podcast,http://samrobertswrestling.libsyn.com/rss
Science Friday,http://www.sciencefriday.com/feed/podcast/podcast-episode
2 Dope Queens,http://feeds.wnyc.org/2DopeQueens
The Generation Why Podcast,http://thegenerationwhypodcast.com/feed/category/podcast
The Church of What's Happening Now: W...,x
TGIM Shorts,x
Reveal,http://feeds.revealradio.org/revealpodcast
Undisclosed: The State Vs. Adnan Syed,x
Reply All,http://feeds.gimletmedia.com/hearreplyall
RISK!,x
On the Media,http://feeds.wnyc.org/onthemedia
The Mortified Podcast,http://feeds.getmortified.com/MortifiedPod
Hollywood Babble-On,http://feeds.feedburner.com/HollywoodBabbleOnPod
this WEEK in TECH,x
Ring Rust Radio,http://www.blogtalkradio.com/ringrustradio/podcast
The Armstrong and Getty Show,x
How Did This Get Made?,x
Welcome to Night Vale,x
Ask Me Another,x
Happier with Gretchen Rubin,x
Doug Loves Movies,x
Embedded,x
Pop Culture Happy Hour,x
NBC Nightly News (audio),x
Common Sense with Dan Carlin,x
CBS Sports Fantasy Football Today Pod...,x
Comedy Bang Bang: The Podcast,x
The Read,x
FOX News Radio,x
Handel on the Law on Demand,x
